Packet ID,Timestamp (ns)
0,0.0003669261932373047
1,0.0003273487091064453
2,0.00034165382385253906
3,0.000370025634765625
4,0.0003750324249267578
5,0.00041413307189941406
6,0.0008068084716796875
7,0.000408172607421875
8,0.00036716461181640625
9,0.00043845176696777344
10,0.0005891323089599609
11,0.00042939186096191406
12,0.0007326602935791016
13,0.0003101825714111328
14,0.00034809112548828125
15,0.0004031658172607422
16,0.00047969818115234375
17,0.00037741661071777344
18,0.000339508056640625
19,0.0005176067352294922
20,0.0003695487976074219
21,0.00031876564025878906
22,0.00040984153747558594
23,0.0003502368927001953
24,0.0003414154052734375
25,0.0003345012664794922
26,0.0003409385681152344
27,0.0007488727569580078
28,0.0003464221954345703
29,0.0003497600555419922
30,0.0007932186126708984
31,0.00046825408935546875
32,0.0005261898040771484
33,0.0008847713470458984
34,0.0008370876312255859
35,0.0003619194030761719
36,0.00037550926208496094
37,0.0007579326629638672
38,0.0003349781036376953
39,0.0007028579711914062
40,0.00036263465881347656
41,0.0008447170257568359
42,0.0009996891021728516
43,0.0007929801940917969
44,0.0009255409240722656
45,0.00034356117248535156
46,0.0005681514739990234
47,0.0008890628814697266
48,0.00037097930908203125
49,0.0003571510314941406
50,0.0002143383026123047
51,0.00036597251892089844
52,0.0003447532653808594
53,0.0005743503570556641
54,0.0003170967102050781
55,0.0005578994750976562
56,0.00032019615173339844
57,0.0003342628479003906
58,0.0003452301025390625
59,0.0003418922424316406
60,0.0003540515899658203
61,0.000331878662109375
62,0.00034427642822265625
63,0.0006334781646728516
64,0.00032901763916015625
65,0.00037384033203125
66,0.0003514289855957031
67,0.0003745555877685547
68,0.00043201446533203125
69,0.0003707408905029297
70,0.0003578662872314453
71,0.0005245208740234375
72,0.0003516674041748047
73,0.00034737586975097656
74,0.0003941059112548828
75,0.0003695487976074219
76,0.0005812644958496094
77,0.0003654956817626953
78,0.0003590583801269531
79,0.0003478527069091797
80,0.0003666877746582031
81,0.00021910667419433594
82,0.00035381317138671875
83,0.00033020973205566406
84,0.0004432201385498047
85,0.0003135204315185547
86,0.0003485679626464844
87,0.0003502368927001953
88,0.00040030479431152344
89,0.0004215240478515625
90,0.0004324913024902344
91,0.0003364086151123047
92,0.0003948211669921875
93,0.0004062652587890625
94,0.0003459453582763672
95,0.0004131793975830078
96,0.0003421306610107422
97,0.0004968643188476562
98,0.0003490447998046875
99,0.00036978721618652344
100,0.0003743171691894531
101,0.00033855438232421875
102,0.00037980079650878906
103,0.0004341602325439453
104,0.0003631114959716797
105,0.00034928321838378906
106,0.0003387928009033203
107,0.00033855438232421875
108,0.0007491111755371094
109,0.0007312297821044922
110,0.0007536411285400391
111,0.0010516643524169922
112,0.0007348060607910156
113,0.0007669925689697266
114,0.0005133152008056641
115,0.0004210472106933594
116,0.0004055500030517578
117,0.0005803108215332031
118,0.0004203319549560547
119,0.00042128562927246094
120,0.00036454200744628906
121,0.00042939186096191406
122,0.00048041343688964844
123,0.00036978721618652344
124,0.0009031295776367188
125,0.0005228519439697266
126,0.0004878044128417969
127,0.0003566741943359375
128,0.00043511390686035156
129,0.00048279762268066406
130,0.00037479400634765625
131,0.0004975795745849609
132,0.00035858154296875
133,0.00032901763916015625
134,0.0005640983581542969
135,0.0007967948913574219
136,0.0007827281951904297
137,0.000911712646484375
138,0.0008535385131835938
139,0.0008547306060791016
140,0.00093841552734375
141,0.0008985996246337891
142,0.0009107589721679688
143,0.0008835792541503906
144,0.0010318756103515625
145,0.0009021759033203125
146,0.0009043216705322266
147,0.0003733634948730469
148,0.0003731250762939453
149,0.0004162788391113281
150,0.00039577484130859375
151,0.000446319580078125
152,0.000843048095703125
153,0.0009605884552001953
154,0.0012145042419433594
155,0.0007357597351074219
156,0.0007765293121337891
157,0.0007367134094238281
158,0.0009667873382568359
159,0.0010907649993896484
160,0.0008828639984130859
161,0.0005791187286376953
162,0.0008139610290527344
163,0.0009565353393554688
164,0.0018095970153808594
165,0.00041484832763671875
166,0.00035858154296875
167,0.0005040168762207031
168,0.0003230571746826172
169,0.0009081363677978516
170,0.0003695487976074219
